t=2025-06-27T10:26:09+0100 lvl=info msg="no configuration paths supplied"
t=2025-06-27T10:26:09+0100 lvl=info msg="using configuration at default config path" path="/Users/bamikaleamupitan/Library/Application Support/ngrok/ngrok.yml"
t=2025-06-27T10:26:09+0100 lvl=info msg="open config file" path="/Users/bamikaleamupitan/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-06-27T10:41:00+0100 lvl=info msg="join connections" obj=join id=12cb665cdae3 l=[::1]:3000 r=87.249.132.153:40498
t=2025-06-27T10:41:00+0100 lvl=info msg="join connections" obj=join id=dfa512b2baa5 l=[::1]:3000 r=87.249.132.153:41164
t=2025-06-27T10:41:02+0100 lvl=info msg="join connections" obj=join id=ddc83b9e611f l=[::1]:3000 r=87.249.132.153:56710
t=2025-06-27T10:41:02+0100 lvl=info msg="join connections" obj=join id=0fe7de709e68 l=[::1]:3000 r=87.249.132.153:56710
t=2025-06-27T10:41:02+0100 lvl=info msg="join connections" obj=join id=9f3f7e83948e l=[::1]:3000 r=87.249.132.153:56710
t=2025-06-27T10:41:03+0100 lvl=info msg="join connections" obj=join id=4e56b2945f33 l=[::1]:3000 r=87.249.132.153:40514
t=2025-06-27T10:41:03+0100 lvl=info msg="join connections" obj=join id=b3507c19ad73 l=[::1]:3000 r=87.249.132.153:40514
t=2025-06-27T10:41:03+0100 lvl=info msg="join connections" obj=join id=3dcf75e78096 l=[::1]:3000 r=87.249.132.153:40508
t=2025-06-27T10:41:05+0100 lvl=info msg="join connections" obj=join id=43335853a62e l=[::1]:3000 r=87.249.132.153:56710
t=2025-06-27T10:41:07+0100 lvl=info msg="join connections" obj=join id=e21924745b0a l=[::1]:3000 r=87.249.132.153:47670
t=2025-06-27T10:41:07+0100 lvl=info msg="join connections" obj=join id=a82810401632 l=[::1]:3000 r=87.249.132.153:47670
t=2025-06-27T10:41:08+0100 lvl=info msg="join connections" obj=join id=a9a703a6899f l=[::1]:3000 r=87.249.132.153:47670
t=2025-06-27T10:41:08+0100 lvl=info msg="join connections" obj=join id=be190034d0ff l=[::1]:3000 r=87.249.132.153:51250
